"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T20:52:09.094Z[Europe/London]","0.0","13.03"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-10T20:52:09.215Z[Europe/London]","0.0","14.62"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T20:52:22.237Z[Europe/London]","0.0","0.86"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-10T20:52:23.102Z[Europe/London]","0.0","0.85"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-10T20:52:23.877Z[Europe/London]","0.0","0.48"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-10T20:52:24.360Z[Europe/London]","0.0","0.49"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-10T20:52:24.856Z[Europe/London]","0.0","1.27"
"Users CRUD test","Create a new User","SUCCESS","2023-01-10T20:52:27.156Z[Europe/London]","0.0","0.42"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-10T20:52:27.581Z[Europe/London]","0.0","0.42"
"Users CRUD test","Update user details","SUCCESS","2023-01-10T20:52:28.002Z[Europe/London]","0.0","0.44"
"Users CRUD test","Delete the user","SUCCESS","2023-01-10T20:52:28.439Z[Europe/London]","0.0","1.14"
